"Oohah. The customer can benefit of this rule!","Oooh. ¡El cliente puede beneficiarse de esta regla!"
"Oops. The customer is not eligible for this rule!","Uy. ¡El cliente no es elegible para esta regla!"
"Make sure the rule and the customer exist and try again.","Asegúrate de que la regla y el cliente existan y vuelve a intentarlo."
"Something went wrong, please try again later.","Algo salió mal, por favor intenta de nuevo más tarde."
"Customer Id to test rule eligibility","ID del cliente para probar la elegibilidad de la regla"
"This feature allows you to manually test rule eligibility for a given customer ID. It checks various conditions such as customer group, cart attributes, and active promotions before determining if the rule is applicable.","Esta función le permite probar manualmente la elegibilidad de la regla para un ID de cliente determinado. Comprueba varias condiciones como el grupo de clientes, los atributos del carrito y las promociones activas antes de determinar si la regla es aplicable."
"Validate","Validar"
"The rule '%1' is already expired, it ended %2.","La regla '%1' ya ha expirado, terminó %2."
"No items in the cart meet the rule's action criteria (%1).","Ningún artículo en el carrito cumple con los criterios de acción de la regla (%1)."
"The cart does not meet the conditions of rule %1: %2.","El carrito no cumple con las condiciones de la regla %1: %2."
"The rule '%1' cannot be applied due to shipping address, customer or cart restrictions.","La regla '%1' no se puede aplicar debido a restricciones en la dirección de envío, el cliente o el carrito."
